1245 clips in range 2026-08-18..2026-08-31; 1205 not yet repaired
   1 OK    music-edexcel/aos1-instrumental-music/L2: 69.73s -> 66.64s (card 3.1s, encode, vs card 26.8)
   2 OK    music-edexcel/aos1-instrumental-music/L2: 70.68s -> 67.64s (card 3.1s, copy, vs card 35.2)
   3 OK    separate-sciences-ocr/physics-paper-1/L1: 74.95s -> 71.87s (card 3.1s, encode, vs card 17.1)
   4 OK    separate-sciences-ocr/physics-paper-1/L1: 56.63s -> 53.34s (card 3.1s, copy, vs card 27.9)
   5 OK    separate-sciences-ocr/physics-paper-1/L1: 69.22s -> 66.01s (card 3.1s, copy, vs card 24.9)
   6 OK    separate-sciences-ocr/physics-paper-1/L1: 70.12s -> 67.08s (card 3.1s, copy, vs card 23.9)
   7 OK    physical-education-aqa/socio-cultural-influences-and-wellbeing/L17: 67.13s -> 64.02s (card 3.1s, copy, vs card 31.0)
   8 OK    physical-education-aqa/socio-cultural-influences-and-wellbeing/L17: 61.7s -> 58.68s (card 3.1s, copy, vs card 27.0)
   9 OK    physical-education-aqa/socio-cultural-influences-and-wellbeing/L17: 85.1s -> 82.01s (card 3.1s, copy, vs card 28.4)
  10 OK    physical-education-aqa/socio-cultural-influences-and-wellbeing/L17: 67.62s -> 64.53s (card 3.1s, encode, vs card 32.8)
  11 OK    drama-aqa/noughts-and-crosses/L1: 83.85s -> 80.77s (card 3.1s, encode, vs card 29.4)
  12 OK    drama-aqa/noughts-and-crosses/L1: 64.62s -> 61.58s (card 3.1s, copy, vs card 196.4)
  13 OK    drama-aqa/noughts-and-crosses/L1: 74.65s -> 71.35s (card 3.1s, copy, vs card 35.8)
  14 OK    drama-aqa/noughts-and-crosses/L1: 78.67s -> 75.6s (card 3.1s, copy, vs card 34.7)
  15 OK    film-studies-eduqas/us-independent/L7: 71.26s -> 68.01s (card 3.1s, copy, vs card 38.9)
  16 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L6: 75.26s -> 72.21s (card 3.1s, copy, vs card 41.5)
  17 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L6: 75.86s -> 72.82s (card 3.1s, copy, vs card 28.9)
  18 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L6: 62.42s -> 59.33s (card 3.1s, encode, vs card 31.2)
  19 OK    physical-education-ocr/socio-cultural-issues-and-sports-psychology/L6: 62.83s -> 59.77s (card 3.1s, copy, vs card 46.6)
  20 OK    science-aqa/biology-paper-2/L9: 72.89s -> 69.8s (card 3.1s, encode, vs card 15.5)
  21 OK    science-aqa/biology-paper-2/L9: 62.95s -> 59.91s (card 3.1s, copy, vs card 30.7)
  22 OK    science-aqa/biology-paper-2/L9: 77.55s -> 74.51s (card 3.1s, copy, vs card 32.4)
  23 OK    science-aqa/biology-paper-2/L9: 75.86s -> 72.82s (card 3.1s, copy, vs card 14.1)
  24 OK    separate-sciences-edexcel/biology-paper-2/L7: 78.79s -> 75.74s (card 3.1s, copy, vs card 16.8)
  25 OK    separate-sciences-edexcel/biology-paper-2/L7: 77.53s -> 74.49s (card 3.1s, copy, vs card 91.8)
  26 OK    separate-sciences-edexcel/biology-paper-2/L7: 69.43s -> 66.34s (card 3.1s, encode, vs card 11.8)
  27 OK    separate-sciences-edexcel/biology-paper-2/L7: 71.35s -> 68.27s (card 3.1s, encode, vs card 59.7)
  28 OK    english-literature-edexcel/romeo-and-juliet/L2: 56.35s -> 53.34s (card 3.1s, copy, vs card 43.7)
  29 OK    english-literature-edexcel/romeo-and-juliet/L2: 62.6s -> 59.54s (card 3.1s, copy, vs card 27.2)
  30 OK    english-literature-edexcel/romeo-and-juliet/L2: 86.19s -> 83.15s (card 3.1s, copy, vs card 28.2)
  31 OK    english-literature-edexcel/romeo-and-juliet/L2: 62.93s -> 59.88s (card 3.1s, copy, vs card 30.1)
  32 OK    science-ocr/biology-paper-2/L7: 81.59s -> 78.55s (card 3.1s, copy, vs card 13.9)
  33 OK    science-ocr/biology-paper-2/L7: 80.83s -> 77.79s (card 3.1s, copy, vs card 31.0)
  34 OK    science-edexcel/biology-paper-2/L7: 90.56s -> 87.35s (card 3.1s, copy, vs card 26.5)
  35 OK    science-edexcel/biology-paper-2/L7: 65.32s -> 62.28s (card 3.1s, copy, vs card 179.7)
  36 OK    science-edexcel/biology-paper-2/L7: 76.93s -> 73.84s (card 3.1s, encode, vs card 139.4)
  37 OK    health-social-care-eduqas/self-concept-measuring-health/L6: 85.15s -> 82.01s (card 3.1s, copy, vs card 47.9)
  38 OK    health-social-care-eduqas/self-concept-measuring-health/L6: 73.24s -> 70.17s (card 3.1s, copy, vs card 29.0)
  39 OK    health-social-care-eduqas/self-concept-measuring-health/L6: 75.56s -> 72.52s (card 3.1s, copy, vs card 26.7)
  40 OK    health-social-care-eduqas/self-concept-measuring-health/L6: 61.3s -> 58.24s (card 3.1s, copy, vs card 26.3)
  41 OK    history-ocr/international-relations-1918-1975/L11: 77.07s -> 74.0s (card 3.1s, encode, vs card 13.1)
  42 OK    history-ocr/international-relations-1918-1975/L11: 81.99s -> 78.67s (card 3.1s, copy, vs card 103.6)
  43 OK    history-ocr/international-relations-1918-1975/L11: 83.03s -> 80.02s (card 3.1s, copy, vs card 28.9)
  44 OK    engineering-aqa/manufacturing-processes/L5: 90.4s -> 87.35s (card 3.1s, copy, vs card 67.8)
  45 OK    engineering-aqa/manufacturing-processes/L5: 80.83s -> 77.79s (card 3.1s, copy, vs card 22.0)
  46 OK    engineering-aqa/manufacturing-processes/L5: 70.05s -> 67.01s (card 3.1s, copy, vs card 20.1)
  47 OK    engineering-aqa/manufacturing-processes/L5: 67.59s -> 64.51s (card 3.1s, encode, vs card 17.3)
  48 OK    business-aqa/influences-on-business/L2: 64.55s -> 61.51s (card 3.1s, copy, vs card 43.6)
  49 OK    business-aqa/influences-on-business/L2: 67.52s -> 64.44s (card 3.1s, encode, vs card 32.1)
  50 OK    business-aqa/influences-on-business/L2: 75.53s -> 72.47s (card 3.1s, copy, vs card 35.3)
  51 OK    business-aqa/influences-on-business/L2: 74.7s -> 71.61s (card 3.1s, encode, vs card 28.3)
  52 OK    computer-science-edexcel/data/L2: 74.0s -> 70.94s (card 3.1s, copy, vs card 11.7)
  53 OK    astronomy-edexcel/naked-eye-astronomy/L6: 87.49s -> 84.4s (card 3.1s, encode, vs card 30.0)
  54 OK    astronomy-edexcel/naked-eye-astronomy/L6: 84.5s -> 81.46s (card 3.1s, copy, vs card 24.0)
  55 OK    astronomy-edexcel/naked-eye-astronomy/L6: 67.59s -> 64.51s (card 3.1s, encode, vs card 31.9)
  56 OK    astronomy-edexcel/naked-eye-astronomy/L6: 81.29s -> 78.25s (card 3.1s, copy, vs card 26.5)
  57 OK    music-eduqas/aos1-forms-and-devices/L4: 68.15s -> 65.11s (card 3.1s, copy, vs card 32.8)
  58 OK    music-eduqas/aos1-forms-and-devices/L4: 53.29s -> 50.02s (card 3.1s, copy, vs card 29.3)
  59 OK    music-eduqas/aos1-forms-and-devices/L4: 75.33s -> 72.28s (card 3.1s, copy, vs card 28.4)
  60 OK    music-eduqas/aos1-forms-and-devices/L4: 70.22s -> 67.18s (card 3.1s, copy, vs card 26.9)
  61 OK    design-technology-edexcel/designing-making-principles/L2: 63.18s -> 60.14s (card 3.1s, copy, vs card 20.1)
  62 OK    design-technology-edexcel/designing-making-principles/L2: 70.89s -> 67.85s (card 3.1s, copy, vs card 29.9)
  63 OK    design-technology-edexcel/designing-making-principles/L2: 72.98s -> 69.9s (card 3.1s, encode, vs card 43.2)
  64 OK    design-technology-edexcel/designing-making-principles/L2: 61.32s -> 58.28s (card 3.1s, copy, vs card 14.8)
  65 OK    music-ocr/aos2-the-concerto-through-time/L3: 75.0s -> 71.91s (card 3.1s, encode, vs card 25.8)
  66 OK    music-ocr/aos2-the-concerto-through-time/L3: 83.89s -> 80.85s (card 3.1s, copy, vs card 34.4)
  67 OK    music-ocr/aos2-the-concerto-through-time/L3: 88.58s -> 85.33s (card 3.1s, copy, vs card 25.8)
  68 OK    music-ocr/aos2-the-concerto-through-time/L3: 65.22s -> 62.18s (card 3.1s, copy, vs card 25.6)
  69 OK    music-aqa/aos4-since-1910/L3: 68.22s -> 65.18s (card 3.1s, copy, vs card 26.1)
  70 OK    music-aqa/aos4-since-1910/L3: 70.8s -> 67.76s (card 3.1s, copy, vs card 26.5)
  71 OK    music-aqa/aos4-since-1910/L3: 71.22s -> 68.01s (card 3.1s, copy, vs card 52.4)
  72 OK    music-aqa/aos4-since-1910/L3: 63.32s -> 60.28s (card 3.1s, copy, vs card 27.2)
  73 OK    history-edexcel/crime-punishment-whitechapel/L5: 82.92s -> 79.88s (card 3.1s, copy, vs card 28.2)
  74 OK    religious-studies-ocr/theme-dialogue-religious-and-non-religious/L2: 62.09s -> 59.0s (card 3.1s, encode, vs card 11.8)
